coordinate_id,lontitude,latitude,site
coor-16,120.575004,31.211502,S1
coor-17,120.564491,31.212405,S2
coor-18,120.547108,31.192004,S3
coor-19,120.51793,31.210732,S4
coor-20,120.48924,31.182762,S5
coor-21,120.472193,31.167104,S6
coor-22,120.48209,31.169623,S7
coor-23,120.524148,31.150715,S8
coor-24,120.529483,31.131611,S9
coor-25,120.572394,31.174422,S10
